CMDLINE E:\vk\vk_education\.venv\Scripts\python.exe .\memory_profiler.py
MEM 2.074219 1732468474.1191
MEM 3.707031 1732468474.2197
MEM 3.707031 1732468474.3200
MEM 3.707031 1732468474.4205
MEM 3.707031 1732468474.5208
MEM 3.707031 1732468474.6215
MEM 3.707031 1732468474.7219
MEM 3.707031 1732468474.8225
MEM 3.707031 1732468474.9228
MEM 3.707031 1732468475.0232
MEM 3.707031 1732468475.1239
MEM 3.707031 1732468475.2246
MEM 3.707031 1732468475.3253
MEM 3.707031 1732468475.4255
MEM 3.707031 1732468475.5262
MEM 3.707031 1732468475.6266
MEM 3.707031 1732468475.7270
